ダウンロードした時刻：2020/04/19 02:58:05

,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
年月日,最高気温(℃),最高気温(℃),最高気温(℃),平均湿度(％),平均湿度(％),平均湿度(％),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2019/4/18,22.7,8,1,63,8,1,薄曇時々晴,8,1
2019/4/19,22.5,8,1,63,8,1,曇一時晴,8,1
2019/4/20,23.4,8,1,49,8,1,快晴,8,1
2019/4/21,24.9,8,1,71,8,1,晴後一時薄曇,8,1
2019/4/22,27.6,8,1,54,8,1,晴一時曇,8,1
2019/4/23,27.1,8,1,63,8,1,薄曇,8,1
2019/4/24,24.0,8,1,75,8,1,曇時々雨,8,1
2019/4/25,24.3,8,1,79,8,1,曇後一時晴,8,1
2019/4/26,23.8,8,1,76,8,1,曇後晴,8,1
2019/4/27,16.1,8,1,53,8,1,晴時々曇,8,1
2019/4/28,17.4,8,1,50,8,1,曇,8,1
2019/4/29,18.3,8,1,63,8,1,曇後時々雨,8,1
2019/4/30,22.1,8,1,81,8,1,曇一時雨,8,1
2019/5/1,18.0,8,1,88,8,1,雨時々曇,8,1
2019/5/2,23.6,8,1,57,8,1,晴後一時薄曇,8,1
2019/5/3,25.5,8,1,53,8,1,薄曇後時々晴、雷を伴う,8,1
2019/5/4,27.2,8,1,39,8,1,快晴,8,1
2019/5/5,26.1,8,1,51,8,1,薄曇時々晴,8,1
2019/5/6,24.4,8,1,63,8,1,曇後一時雨、雷を伴う,8,1
2019/5/7,20.1,8,1,39,8,1,快晴,8,1
2019/5/8,22.4,8,1,36,8,1,晴後薄曇,8,1
2019/5/9,21.8,8,1,53,8,1,曇後一時晴,8,1
2019/5/10,28.0,8,1,56,8,1,薄曇,8,1
2019/5/11,29.7,8,1,38,8,1,快晴,8,1
2019/5/12,28.7,8,1,40,8,1,薄曇時々晴,8,1
2019/5/13,28.2,8,1,63,8,1,晴後薄曇,8,1
2019/5/14,24.2,8,1,69,8,1,曇後一時雨,8,1
2019/5/15,27.1,8,1,63,8,1,薄曇,8,1
2019/5/16,27.3,8,1,61,8,1,曇一時晴,8,1
2019/5/17,27.2,8,1,57,8,1,曇一時晴,8,1
2019/5/18,25.1,8,1,57,8,1,曇,8,1
2019/5/19,27.8,8,1,53,8,1,薄曇,8,1
2019/5/20,27.2,8,1,63,8,1,曇後時々雨,8,1
2019/5/21,25.9,8,1,61,8,1,曇一時雨後晴,8,1
2019/5/22,26.3,8,1,37,8,1,晴時々薄曇,8,1
2019/5/23,28.7,8,1,38,8,1,快晴,8,1
2019/5/24,30.3,8,1,41,8,1,快晴,8,1
2019/5/25,32.4,8,1,43,8,1,晴後一時薄曇,8,1
2019/5/26,30.5,8,1,58,8,1,薄曇後時々晴,8,1
2019/5/27,31.6,8,1,51,8,1,曇一時晴,8,1
2019/5/28,24.3,8,1,86,8,1,雨一時曇,8,1
2019/5/29,24.5,8,1,52,8,1,薄曇,8,1
2019/5/30,28.8,8,1,42,8,1,晴後薄曇,8,1
2019/5/31,24.3,8,1,58,8,1,曇,8,1
2019/6/1,26.8,8,1,60,8,1,薄曇後一時晴,8,1
2019/6/2,24.5,8,1,67,8,1,曇後時々雨,8,1
2019/6/3,30.3,8,1,63,8,1,薄曇一時晴,8,1
